Lottery Date,Lottery Numbers
 Saturday31st December 1994 , 9 17 32 36 42 44 16 
 Saturday24th December 1994 , 2 3 27 29 39 44 6 
 Saturday17th December 1994 , 3 5 9 13 14 38 30 
 Saturday10th December 1994 , 26 35 38 43 47 49 28 
 Saturday3rd December 1994 , 11 17 21 29 30 40 31 
 Saturday26th November 1994 , 6 12 15 16 31 44 37 
 Saturday19th November 1994 , 3 5 14 22 30 44 10 
 Saturday30th December 1995 , 6 32 39 42 43 45 36 
 Saturday23rd December 1995 , 6 11 34 40 47 49 16 
 Saturday16th December 1995 , 7 8 23 28 35 49 10 
 Saturday9th December 1995 , 5 11 12 26 29 33 20 
 Saturday2nd December 1995 , 15 16 19 26 35 46 7 
 Saturday25th November 1995 , 16 23 28 30 42 46 45 
 Saturday18th November 1995 , 4 7 18 33 45 48 1 
 Saturday11th November 1995 , 7 10 23 28 30 48 3 
 Saturday4th November 1995 , 6 14 18 27 44 48 1 
 Saturday28th October 1995 , 7 16 27 33 35 44 5 
 Saturday21st October 1995 , 2 6 17 19 21 47 5 
 Saturday14th October 1995 , 4 5 9 25 30 47 17 
 Saturday7th October 1995 , 10 22 28 30 36 37 45 
 Saturday30th September 1995 , 10 11 29 32 33 40 16 
 Saturday23rd September 1995 , 5 10 19 24 34 46 28 
 Saturday16th September 1995 , 2 10 14 25 37 41 5 
 Saturday9th September 1995 , 2 12 20 22 41 45 47 
 Saturday2nd September 1995 , 1 15 22 28 40 49 44 
 Saturday26th August 1995 , 16 18 21 27 38 41 26 
 Saturday19th August 1995 , 5 8 23 24 28 48 19 
 Saturday12th August 1995 , 11 25 28 33 34 47 48 
 Saturday5th August 1995 , 1 8 25 30 35 45 15 
 Saturday29th July 1995 , 28 34 41 45 46 49 11 
 Saturday22nd July 1995 , 2 3 21 22 23 40 24 
 Saturday15th July 1995 , 1 4 20 31 41 43 38 
 Saturday8th July 1995 , 1 3 11 14 20 40 45 
 Saturday1st July 1995 , 5 7 8 25 44 48 3 
